,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
3210,2012-10-04,1404.1370884558191,1286.2846985970032,1523.1864687215889,1404.1370884558191,1404.1370884558191,1.7736621608418648,1.7736621608418648,1.7736621608418648,15.926825636895877,15.926825636895877,15.926825636895877,1.4781520093798461,1.4781520093798461,1.4781520093798461,-15.631315485433863,-15.631315485433863,-15.631315485433863,0.0,0.0,0.0,1405.910750616661
3211,2012-10-05,1404.5880941146615,1297.3691430597714,1529.5189531055403,1404.5880941146615,1404.5880941146615,-0.2654022544041326,-0.2654022544041326,-0.2654022544041326,15.926825636895877,15.926825636895877,15.926825636895877,0.15432435539574024,0.15432435539574024,0.15432435539574024,-16.346552246695754,-16.346552246695754,-16.346552246695754,0.0,0.0,0.0,1404.3226918602575
3212,2012-10-08,1405.9411110911894,1275.08154457103,1536.097352403913,1405.9411110911894,1405.9411110911894,-2.207771262396892,-2.207771262396892,-2.207771262396892,15.926825636895877,15.926825636895877,15.926825636895877,-0.14436516631588753,-0.14436516631588753,-0.14436516631588753,-17.990231732976884,-17.990231732976884,-17.990231732976884,0.0,0.0,0.0,1403.7333398287926
3213,2012-10-09,1406.3921167500314,1283.5739886958131,1528.2883777374193,1406.3921167500314,1406.3921167500314,-0.9117033718509012,-0.9117033718509012,-0.9117033718509012,15.926825636895877,15.926825636895877,15.926825636895877,1.5060391550634167,1.5060391550634167,1.5060391550634167,-18.344568163810195,-18.344568163810195,-18.344568163810195,0.0,0.0,0.0,1405.4804133781804
3214,2012-10-10,1406.8431224088743,1286.641231174254,1528.8831876946904,1406.8431224088743,1406.8431224088743,-1.677419689310498,-1.677419689310498,-1.677419689310498,15.926825636895877,15.926825636895877,15.926825636895877,0.987557869753356,0.987557869753356,0.987557869753356,-18.591803195959738,-18.591803195959738,-18.591803195959738,0.0,0.0,0.0,1405.1657027195638
3215,2012-10-11,1407.2941280677167,1282.9087016187157,1521.999104868264,1407.2941280677167,1407.2941280677167,-1.322846776310182,-1.322846776310182,-1.322846776310182,15.926825636895877,15.926825636895877,15.926825636895877,1.4781520093782794,1.4781520093782794,1.4781520093782794,-18.72782442258434,-18.72782442258434,-18.72782442258434,0.0,0.0,0.0,1405.9712812914065
3216,2012-10-12,1407.7451337265593,1278.6816486894993,1535.4317386037048,1407.7451337265593,1407.7451337265593,-2.668980397762183,-2.668980397762183,-2.668980397762183,15.926825636895877,15.926825636895877,15.926825636895877,0.15432435539710415,0.15432435539710415,0.15432435539710415,-18.75013039005517,-18.75013039005517,-18.75013039005517,0.0,0.0,0.0,1405.076153328797
3217,2012-10-15,1409.098150703087,1292.5942689395574,1531.5462919339284,1409.098150703087,1409.098150703087,-2.353518236339045,-2.353518236339045,-2.353518236339045,15.926825636895877,15.926825636895877,15.926825636895877,-0.14436516631453336,-0.14436516631453336,-0.14436516631453336,-18.13597870692039,-18.13597870692039,-18.13597870692039,0.0,0.0,0.0,1406.7446324667478
3218,2012-10-16,1409.5491563619296,1281.5461802503132,1530.2797983662051,1409.5491563619296,1409.5491563619296,-0.28081183686774697,-0.28081183686774697,-0.28081183686774697,15.926825636895877,15.926825636895877,15.926825636895877,1.5060391550636745,1.5060391550636745,1.5060391550636745,-17.7136766288273,-17.7136766288273,-17.7136766288273,0.0,0.0,0.0,1409.2683445250618
3219,2012-10-17,1410.000162020772,1280.901361968444,1531.4315313255395,1410.000162020772,1410.000162020772,-0.2773582943009309,-0.2773582943009309,-0.2773582943009309,15.926825636895877,15.926825636895877,15.926825636895877,0.9875578697529532,0.9875578697529532,0.9875578697529532,-17.191741800949767,-17.191741800949767,-17.191741800949767,0.0,0.0,0.0,1409.722803726471
